Age (ka),d18O (permil),d18O sigma (permil)
0,3.15837,0.111277
1,3.158242,0.109882267
2,3.15434,0.109105329
3,3.149144,0.108535061
4,3.144692,0.108060982
5,3.14258,0.107873259
6,3.146604,0.108691587
7,3.15874,0.11017251
8,3.195703069,0.110328754
9,3.262001851,0.123010423
10,3.36360642,0.174328309
11,3.512320272,0.216953871
12,3.684855997,0.206407377
13,3.855308616,0.177740989
14,4.013001554,0.179975748
15,4.212128652,0.198169959
16,4.457650171,0.183035564
17,4.657993441,0.155520513
18,4.770323615,0.110044158
19,4.79338,0.08812057
20,4.781357837,0.089056241
21,4.763458985,0.090774392
22,4.729404516,0.102775731
23,4.686223833,0.114708652
24,4.645016176,0.125942925
25,4.625995729,0.124595666
26,4.620491551,0.113515144
27,4.606208523,0.111306033
28,4.588232872,0.116288703
29,4.558122768,0.11885495
30,4.516872321,0.115538055
31,4.483206437,0.109403804
32,4.461233894,0.103442394
33,4.437419695,0.097381798
34,4.406362619,0.089866651
35,4.375582787,0.088438323
36,4.336025952,0.105515991
37,4.290569077,0.127283801
38,4.2602,0.139380576
39,4.27097,0.13763474
40,4.31824,0.121417921
41,4.36644,0.097768242
42,4.37837,0.092067769
43,4.36518,0.097281337
44,4.33704,0.100136858
45,4.29703,0.10735169
46,4.24187,0.128330952
47,4.22608,0.139615211
48,4.259676113,0.125970155
49,4.300630695,0.107059502
50,4.316205244,0.098120368
51,4.299855795,0.096229887
52,4.256928645,0.099150085
53,4.20439,0.108747403
54,4.17332022,0.117758563
55,4.186118519,0.116226656
56,4.220244835,0.109371283
57,4.216235864,0.113455718
58,4.166706054,0.127888871
59,4.14026,0.144046374
60,4.199685,0.132090642
61,4.275385,0.132279398
62,4.3430225,0.132187272
63,4.39401,0.113739396
64,4.4168075,0.096923902
65,4.431355,0.092321233
66,4.43643,0.092017704
67,4.40607,0.09351603
68,4.363283969,0.099377478
69,4.314731092,0.107667156
70,4.260604717,0.118178426
71,4.201541248,0.129977375
72,4.138988752,0.139501417
73,4.092778116,0.138505314
74,4.054954079,0.134661
75,4.017561633,0.13070179
76,3.97063,0.128507398
77,3.948875314,0.121160132
78,3.93522088,0.115077269
79,3.9138388,0.109969533
80,3.874988136,0.105560907
81,3.819061864,0.101592018
82,3.753292247,0.101699986
83,3.694192286,0.104985142
84,3.650947991,0.111471102
85,3.63176,0.121275989
86,3.754058571,0.141697098
87,3.929718571,0.162629403
88,4.021312857,0.14893452
89,3.965087446,0.139033716
90,3.873216896,0.141449555
91,3.845253113,0.133134044
92,3.817424132,0.124776853
93,3.793419504,0.119349283
94,3.770044003,0.116137352
95,3.743334041,0.114364882
96,3.71381061,0.113711059
97,3.686669776,0.113782399
98,3.668645627,0.113982711
99,3.658610641,0.114187334
100,3.65850592,0.115212875
101,3.668765657,0.116875582
102,3.685639889,0.118764347
103,3.705837242,0.120542036
104,3.726778652,0.122267339
105,3.746350205,0.124466356
106,3.762203447,0.127526782
107,3.770465137,0.131416703
108,3.778282969,0.137180687
109,3.78948599,0.144017931
110,3.834501058,0.149712475
111,3.9110043,0.150990028
112,3.935530606,0.144699681
113,3.888604902,0.134900427
114,3.822868549,0.131950307
115,3.73887436,0.138055022
116,3.636163797,0.1498893
117,3.531161664,0.16191606
118,3.442110529,0.169092935
119,3.362651809,0.169183527
120,3.270774676,0.155774679
121,3.181052372,0.136795221
122,3.112704816,0.123474688
123,3.067384334,0.120604813
124,3.039205563,0.126147162
125,3.02426744,0.135594371
126,3.03152,0.150814949
127,3.132024928,0.205281031
128,3.307778966,0.275731619
129,3.520260858,0.324284298
130,3.756468823,0.352379529
131,3.950085,0.369713907
